#separator:tab
#html:false
Jack, it's a fool's errand.	errand:  short trip to buy or deliver things.
What makes you think Barbossa will give up his ship to you? -- Let's just say it's a matter of leverage.	leverage: power to influence people and get the results you want.
Well, you may tell the captain that I am disclined to acquiesce to his request.	to acquiesce: to accept or agree to something, often unwilingly.
There's no need to sand on ceremony, no call to impress anyone.	there is no call something: <spoken> used to tell someone that their behavior is wrong and unnecessary.
All the scatterd pices of the Aztec gold must be restored and blood repaid.	scattered: covering a wide area
For too long I've been parched of thirst and unable to quench it.	perched: dried out because of too much heat  quench: to drink liquid so that you stop being thrsty.
Do you have the courage and fortitude to follow orders and stay true in the face of danger and almost certain death?	fortitude: bravery when dealing with pain or difficulty, especially over a long period
Not a lot's known about Jack before he showed up Tortuga with a mind to find the treasure of the Isla de Muerta.	with a mind to...: someone has a specific plan or ourpose in mind.
He plays things closer to the vest now.	play it close to the vest: to be reserved, secretive to oneself. to take no risks; be cautious.
"There're days out on the venture, the first mate says, ""Everything's an equal share. That means the location of the treasure too."" So Jack gives up the bearings."	bearings: an understanding of directions and positions that helps you know where you are.
That night, there was a munity. They marooned Jack on an island left him to die.	maroon: to leave someone in a place from which they cannot escape.
but not before he'd gone mad with the heat.	but not before: at a time eariler than, first than, e.g.: Not before next Tuesday.
He waded out into the shallows and waited three days and three nights. till all manner of sea creatures came acclimated to his presence.	wade:to walk through water or other liquid with some effort  acclimate to something:to change to suit different conditions of life, wether, etc., or to make someone or something do this.
Ten years hoarding swag.	hoarding: to collect large amount of something and keep it for yourself. often in a seacret place.  swag: stolen goods free things that you are given a fashionable and confident appearance or way of behaving
What code is Gibbs to keep to if the worst should happen? -- Pirate's code. Any man who falls behind is left behind.	fall behind: to fail to do something fast enogh or on time.
For ten years we've been tested and tried, and each man here has proved his mettle a hundred times over and a hundred times again!	mettle: ability and determination when competing or doing something difficult bravely and determination  determination: the ability to continue trying to do something although it is very difficult.
disportionate to our crime!	disportionate: too great or too small when compared to something else, or not deserving its importance.
